Title,rating,is_action,is_crime,is_music,is_drama,is_family,is_comedy,is_romance,is_fantasy,is_mystery,is_war,is_biography,is_history,is_thriller,is_adventure,is_horror,is_animation,is_sport,is_sci-fi,is_documentary,duration_m,log_box_office,star_score,special_day
Kranti,7.3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,188.0,5.212588322764624,6,0
Love Story,6.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,161.0,4.663221454093679,0,0
Kudrat,7.1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,164.0,3.49497612416879,1,0
Rocky,6.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,151.0,4.021246374839967,1,0
Laawaris,7.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.0,3.8809002876411154,2,0
Ek Duuje Ke Liye,7.3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,167.0,4.474150776410331,0,0
Kaalia,6.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.0,4.240797360058708,1,1
Satte Pe Satta,7.2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,4.248344771432423,3,1
Prem Rog,7.1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,183.0,4.668269895370421,1,0
Vidhaata,6.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.0,4.874147365441697,0,0
Disco Dancer,6.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0,3.969253848278458,1,0
Coolie,6.6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,177.0,4.916867134643746,1,0
Hero,6.7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,173.0,4.555440537431497,0,0
Sharaabi,7.3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,180.0,3.9988545978236125,1,0
Ram Teri Ganga Maili,6.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,178.0,4.79165688242006,2,0
Aakhree Raasta,7.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.0,3.935432340209623,2,1
Karma,7.2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,193.0,4.4267185507337485,2,0
Naam,7.3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.0,1.8427106352038813,2,0
Khudgarz,5.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.0,3.9626131594953966,0,1
Tezaab,6.9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,4.3892019176076795,2,0
Ram Lakhan,6.7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,174.0,4.506949652761804,1,1
Tridev,6.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,4.450439973184668,0,0
Maine Pyar Kiya,7.3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,192.0,4.944834601093417,1,0
Agneepath,7.6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.0,6.985066448749605,3,0
Dil,6.6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,172.0,4.5523913082359595,2,0
Aaj Ka Arjun,4.6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.0,4.2002241738955055,1,0
Sanam Bewafa,5.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,160.0,3.899665354015232,1,0
Hum,6.9,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,184.0,4.367397884246393,2,0
Saajan,7.2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,193.0,4.444407657671432,3,0
Phool Aur Kaante,6.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,173.0,4.019928555598508,1,0
Sadak,6.4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,134.0,3.9413809170539547,1,1
Tirangaa,6.8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,168.0,3.8431374030754295,0,1
King Uncle,5.3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,171.0,2.676377027135324,1,0
Aankhen,6.8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,4.781412612173853,0,1
Anari,5.3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,171.0,2.411373184359075,0,0
Khalnayak,7.1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,190.0,4.449418564215496,2,0
Hum Hain Rahi Pyar Ke,7.3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,163.0,3.5505040269767654,1,0
Baazigar,7.6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,3.978519232391159,2,0
Tadipaar,4.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.0,2.807122968053793,1,0
Darr,7.6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,178.0,4.299578097079307,3,1
Raja Babu,6.4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,161.0,3.966996598239577,0,0
Kabhi Haan Kabhi Naa,7.6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158.0,3.234880399009916,1,0
Salaami,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,148.0,2.9237341544536646,0,0
Yeh Dillagi,5.9,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0,3.610270354644485,3,0
Mohra,7.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,177.0,4.337775877946568,1,0
1942: A Love Story,7.2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,157.0,3.8058563229807794,3,0
Krantiveer,7.4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.0,4.091122739691451,0,0
Naaraaz,4.7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.0,2.6756968046045144,1,0
Andaz Apna Apna,8.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,160.0,3.536149228308809,2,0
Karan Arjun,6.8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,175.0,4.98040992939221,2,0
Naajayaz,5.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.0,3.547283962180586,1,0
Baazi,6.4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,183.0,1.9043537114469473,1,0
Maidan-E-Jung,3.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0,3.223568000001206,1,1
Sabse Bada Khiladi,5.9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,162.0,4.002258946329087,1,0
Coolie No. 1,6.6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,143.0,4.2874581391604645,1,0
Bandit Queen,7.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,119.0,4.401613988766008,0,0
Zamaana Deewana,4.7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,162.0,3.321048219367717,1,0
