Title,URL,Genre,Release Date,Plot,Box Office (Cr.),director,actors,writers,duration,rating,Box_office_adjusted
Chauranghee,https://www.imdb.com/title/tt0214578/,Drama+Family+Musical,1942-07-04,,,Sibtain Fazli,Amita Bose+Maya Bose+Chhayadevi,,,9.3,
Do Bigha Zamin,https://www.imdb.com/title/tt0045693/,Drama,1953-07-24,"In the hope of earning enough money to pay off his debts and save his land, a poor farmer becomes a rickshaw puller in Calcutta and faces many difficulties.",,Bimal Roy,Balraj Sahni+Nirupa Roy+Ratan Kumar,Salil Choudhury+Paul Mahendra+Hrishikesh Mukherjee,PT2H11M,8.3,
Shree 420,https://www.imdb.com/title/tt0048613/,Comedy+Crime+Drama,1955-09-06,"When a young man from a small town decides to make it big in a city, he faces several challenges.",,Raj Kapoor,Nargis+Raj Kapoor+Nadira,Khwaja Ahmad Abbas+V.P. Sathe,PT2H48M,7.9,
Devdas,https://www.imdb.com/title/tt0047990/,Drama+Musical+Romance,1955-12-30,The scion of a wealthy landowner family turns to alcohol and self-pity and slowly self-destructs after class differences force him to break off his relationship with his childhood sweetheart.,,Bimal Roy,Dilip Kumar+Suchitra Sen+Vyjayanthimala,,PT2H39M,7.7,
C.I.D.,https://www.imdb.com/title/tt0049041/,Action+Crime+Musical,1956-04-06,"A newspaper editor gets murdered when he was about to expose the underworld links of a rich person. So, a C.I.D inspector gets assigned to investigate the murder case.",1.25,Raj Khosla,Dev Anand+Shakila+Johnny Walker,Inder Raj Anand,PT2H26M,7.1,108.94345238095238
Awaara,https://www.imdb.com/title/tt0043306/,Drama+Musical+Romance,1956-04-07,"A poor young man named Raj joins a criminal gang to feed his mother. But when he falls in love with Rita, he decides to reform himself for her.",,Raj Kapoor,Raj Kapoor+Nargis+Prithviraj Kapoor,,PT3H13M,7.8,
Fashion,https://www.imdb.com/title/tt0373835/,Drama+Family,1957-01-01,Kishore lives happily with wife Shanta and daughter Kamla only thing he is unhappy about is Shanta being old fashioned.His friend Kedar who eyes Shanta takes advantage of this situation and introduces Kishore to alcohol and other women who starts seeing Manorama.Shanta finds about the same and goes to comfort Kedar who tries to molest her and scoops false story to Kishore about Shanta's infidelity.This leads to Kishore getting separated from Shanta and also refuses any connects with Kamla.,26.46,Lekhraj Bhakri,Pradeep Kumar+Manoj Kumar+Mala Sinha,,PT2H28M,8.0,2226.593793103448
Thirst,https://www.imdb.com/title/tt0050870/,Drama+Musical+Romance,1957-02-19,"Vijay, a talented but indigent poet, struggles for love and recognition in this selfish world.",,Guru Dutt,Guru Dutt+Waheeda Rehman+Mala Sinha,Abrar Alvi,PT2H26M,8.3,
Naya Daur,https://www.imdb.com/title/tt0050758/,Action+Drama+Musical,1957-08-15,"When the son of a landlord decides to modernize his business by replacing the horse carts with buses, a horse cart rider decides to challenge him.",2.25,B.R. Chopra,Dilip Kumar+Vyjayanthimala+Ajit Khan,Akhtar Mirza+Kamil Rashid,PT2H53M,7.9,189.33620689655172
Mother India,https://www.imdb.com/title/tt0050188/,Action+Comedy+Drama,1957-10-25,"In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, she always sticks to her own moral code.",,Mehboob Khan,Nargis+Sunil Dutt+Rajendra Kumar Tuli,Wajahat Mirza+S. Ali Raza,PT2H52M,7.8,
Chalti Ka Naam Gaadi,https://www.imdb.com/title/tt0128985/,Comedy+Musical+Romance,1958-01-01,Three woman-hating brothers face changes in their respective lifestyles when two of them fall in love.,1.25,Satyen Bose,Ashok Kumar+Madhubala+Anoop Kumar,Govind Moonis+Ramesh Pant,PT2H53M,7.9,100.5631868131868
Madhumati,https://www.imdb.com/title/tt0050665/,Fantasy+Musical+Mystery,1958-09-12,"A young man takes shelter in a mansion when a landslide blocks his route to the railway station. Then, he finds the mansion familiar and soon learns about the story of his previous birth.",2.0,Bimal Roy,Dilip Kumar+Vyjayanthimala+Johnny Walker,Ritwik Ghatak+Rajinder Singh Bedi,PT2H46M,7.7,160.9010989010989
Paper Flowers,https://www.imdb.com/title/tt0052954/,Romance,1959-01-02,"Suresh Sinha, a famous director, discovers star potential in Shanti, a woman he stumbled into one rainy evening, and casts her as the lead in a film. In a twist of fate, Shanti becomes a superstar and Suresh faces a decline in his career.",,Guru Dutt,Waheeda Rehman+Guru Dutt+Kumari Naaz,,PT2H28M,7.8,
Honeymoon,https://www.imdb.com/title/tt0361712/,Drama+Family,1960-01-01,"Shanta and Prema are fast friends. Both are educated. shanta is bold. Prema is timid. After father's death, Shanta has to live with her elder cousin brother, Sitaram, who works in a office. His wife does not like Shanta's modern behaviour. Prema's father is rich and encourages free behaviour of girls, which is resented by his wife. Once Shanta meets Kishore, who is a painter,but his paintings are never sold. He stays with Deendayal who treats him as his brother. Deendayal and Sitaram fix Shanta's marriage with Kishore. Shanta takes a test of Kishore and then refuses to marry him. But soon she realises that his love is genuine, and she wants to marry him. Now his brother refuses as kishore is very poor. Nevertheless Shanta marries him and they start a happy life. Prema meets a ultra modern boy Kailash and without making any enquiry marries him. They both go to London for Honeymoon. Shanta and Kishore are leading a happy life despite poverty. One day prema comes back from London. Kailash has cheated her and left her in London. Prema realises that it is not modernity alone, but Love that is more important for a happy married life.",,Lekhraj Bhakri,Manoj Kumar+Sayeeda Khan+Vijaya Choudhury,,PT2H20M,8.7,
Mughal-E-Azam,https://www.imdb.com/title/tt0054098/,Drama+Romance+War,1960-08-05,A 16th century prince falls in love with a court dancer and battles with his emperor father.,5.5,K. Asif,Prithviraj Kapoor+Madhubala+Dilip Kumar,K. Asif+Aman+Kamal Amrohi,PT3H17M,8.1,402.655
Gunga Jumna,https://www.imdb.com/title/tt0054910/,Action+Adventure+Drama,1961-01-01,"Gungaram, a poor, indebted farmer, works hard to educate his younger brother Jumna and make him a police officer. Years later, circumstances force Gungaram to become an outlaw and now the brothers confront each other as enemies.",,Nitin Bose,Dilip Kumar+Vyjayanthimala+Nasir Khan,Wajahat Mirza+Dilip Kumar,PT2H58M,7.4,
Maa Beta,https://www.imdb.com/title/tt0355716/,Comedy+Crime+Drama,1962-01-01,"Dependent on his elder brother, Bishan, Ganga and his wife, Rameshwari, are abused and asked to leave. They work hard, set up their own business, and soon become wealthy enough to even support Bishan and his wife. A pregnant Rameshwari gets the news that her husband has been killed. She subsequently gives birth to a boy, who goes missing. Will Rameshwari be ever reunited with her son?",,Lekhraj Bhakri,Manoj Kumar+Ameeta+Vijay Dutt,Lekhraj Bhakri+Prem Dhawan+Rajaram Shastri,PT2H18M,6.0,
Banarasi Thug,https://www.imdb.com/title/tt0357463/,Drama,1962-05-15,"Shyam travels to another town to meet the girl his mother would like him to marry. On his way, he meets a villager who traps Shyam in his home, with a view to force Shyam to marry his daughter.",,Lekhraj Bhakri,Manoj Kumar+Vijaya Choudhury+I.S. Johar,Mahendra Sari,PT2H25M,7.3,
China Town,https://www.imdb.com/title/tt0268220/,Comedy+Crime+Romance,1962-10-05,A Darjeeling-based singer is asked to impersonate and take over the life of a Calcutta-based China Town gangster.,,Shakti Samanta,Shammi Kapoor+Shakila+Helen,Ranjan Bose+Vrajendra Gaur+Salil Sen Gupta,PT2H31M,7.0,
Sahib Bibi Aur Ghulam,https://www.imdb.com/title/tt0056436/,Drama+Musical,1962-12-07,"A lowly servant, Bhootnath gets close to the wife of his employer and narrates her story through his eyes and perspective.",,Abrar Alvi,Meena Kumari+Guru Dutt+Rehman Khan,Abrar Alvi+Bimal Mitra,PT2H32M,8.1,
Woh Kaun Thi?,https://www.imdb.com/title/tt0232960/,Drama+Mystery+Romance,1964-02-07,"One stormy night, a doctor offers a ride to a ghostly woman he meets on the side of the road. Later, he discovers his intended bride is identical in appearance to the ghost. Who was she and why does she haunt him?",,Raj Khosla,Sadhana Shivdasani+Manoj Kumar+Parveen Choudhary,Dhruva Chatterjee+Ahsan Rizvi,PT2H20M,7.5,
Sangam,https://www.imdb.com/title/tt0058547/,Drama+Musical+Romance,1964-06-18,"Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.",4.0,Raj Kapoor,Raj Kapoor+Rajendra Kumar Tuli+Vyjayanthimala,Inder Raj Anand,PT3H58M,7.3,223.54198473282443
Dosti,https://www.imdb.com/title/tt0146645/,Drama+Family+Musical,1964-11-06,"A series of unfortunate events cause Ramu, a young boy, to lose his parents and his legs. He is befriended by Mohan, a boy with visual impairment, and they team up to survive on the streets.",,Satyen Bose,Sudhir Kumar+Sushil Kumar+Sanjay Khan,Ban Bhatt+Govind Moonis,PT2H43M,8.5,
Kashmir Ki Kali,https://www.imdb.com/title/tt0058257/,Comedy+Musical+Romance,1964-11-20,A rich young man woos a proud girl against her father's wishes.,,Shakti Samanta,Shammi Kapoor+Sharmila Tagore+Pran Sikand,,PT2H48M,6.9,
Shaheed,https://www.imdb.com/title/tt0293589/,Biography+Drama+History,1965-01-01,Shaheed (1965) presents the inspirational biography of one of India's greatest patriots Sardar Bhagat Singh.,0.75,S. Ram Sharma,Kamini Kaushal+Nirupa Roy+Anand Kumar,B.K. Dutt+Din Dayal Sharma,PT2H30M,8.2,39.50179856115108
Himalay Ki Godmein,https://www.imdb.com/title/tt0156606/,Adventure+Drama+Family,1965-01-01,"Young doctor chooses remote Himalayan village, abandoning city comforts. Fiancée leaves, dismayed by primitive conditions. He must decide: stay to heal the villagers or follow his heart.",,Vijay Bhatt,Mala Sinha+Manoj Kumar+Shashikala Jawalkar,Moosa Kaleem+Virendra Sinha,PT2H,6.6,
Gumnaam,https://www.imdb.com/title/tt0247394/,Musical+Mystery+Thriller,1965-02-06,"Eight people are stranded on an island. They reach a mansion where a butler is awaiting them. Then an unknown, vengeful person starts killing them, one by one.",,Raja Nawathe,Nanda Karnataki+Manoj Kumar+Pran Sikand,Dhruva Chatterjee+Agatha Christie+Charandas Shokh,PT2H31M,6.9,
Guide,https://www.imdb.com/title/tt0059246/,Drama+Romance,1965-02-06,"When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers.",1.75,Vijay Anand,Dev Anand+Waheeda Rehman+Leela Chitnis,Vijay Anand+Pearl S. Buck+R.K. Narayan,PT3H3M,8.3,92.17086330935251
Waqt,https://www.imdb.com/title/tt0059893/,Drama+Romance,1965-07-28,"Members of a family are separated in a natural disaster. Several years down the line, they aren't united but their lives are strangely interconnected.",3.0,Yash Chopra,Sunil Dutt+Sadhana Shivdasani+Raaj Kumar,Akhtar Mirza+Akhtar-Ul-Iman,PT2H58M,7.6,158.0071942446043
Teen Devian,https://www.imdb.com/title/tt0274944/,Musical+Romance,1965-12-10,"Devdutt Anand works in a company selling musical instruments, and is always late for work, infuriating his boss, I.S. Johar. Things change for the better when Johar finds out that Devdutt has a talent for writing poems, and he gets Devdutt to write and even gets them published for him. This gets Devdutt into the limelight and increases sales for Johar's business. While traveling home by BEST bus, he meets with Nanda, who has come to live in his neighborhood, and both are attracted to each other. One night Devdutt comes to the assistance to Bollywood movie actress Kalpana when her car breaks down, she finds out he is a poet and arranges a meeting with him, again both are attracted to each other. Devdutt is asked to deliver a piano to the palatial house of a wealthy woman named Simi alias Radha Rani. She too is impressed by Devutt's poems and invites him over to her house for a party, and again both are attracted to each other. Knowing fully well that he cannot marry three women in his country, a tortured and uncertain Devdutt must now make up his mind as who he wants as his life-partner.",,Amarjeet,Dev Anand+Nanda Karnataki+Simi Garewal,Sadashiv Brahmam+Vrajendra Gaur,PT2H1M,7.3,
Teesri Manzil,https://www.imdb.com/title/tt0061073/,Comedy+Musical+Mystery,1966-10-21,"A woman blames a nightclub drummer for the suspicious death of her sister, and seeks revenge. However, the pair work together to solve the mystery and become romantically involved, after he introduces himself under another name.",,Vijay Anand,Shammi Kapoor+Asha Parekh+Raj Mehra,,PT2H52M,7.5,
Patthar Ke Sanam,https://www.imdb.com/title/tt0176012/,Action+Drama+Romance,1967-01-01,"Beautiful Meena lives a wealthy lifestyle along with her widowed dad, Thakur, in a small town in India. When her dad hires a new Manager, Rajesh, she and her friend, Taruna, decide to tease him and make him believe that both are in love with him. He finds out and pretends that he has fallen in love with both. As a result both women end up falling in love with him with the Thakur ready to permit Meena to wed with him. Acrimony sets in between Meena and Taruna when Meena makes it clear that she wants Rajesh for herself as well as reminds her that her marriage has been finalized with their Contractor, Lala Bhagatram, when Taruna was a child. Then Rajesh is assaulted by some men and his mother, Shanti, attends to look after him. It is her presence that will not only unleash a dark secret from their past, which included a murder, but also lead to another homicide.",,Raja Nawathe,Waheeda Rehman+Manoj Kumar+Mumtaz Askari,Akhtar-Ul-Iman+Gulshan Nanda,PT2H16M,6.5,
Milan,https://www.imdb.com/title/tt0061974/,Drama+Romance,1967-03-17,"On the banks of the holy River Ganga, Gopi, a ferryman conducts an unconsummated romance with Radha, a girl from the upper classes. At the same time, he rejects the advances of Gauri, a girl from his own village, who is attracting the unwanted attention of Radha's lecherous uncle. Fate is not kind to them. Radha is married off to a man she doesn't care for and Gopi is severely beaten by thugs sent by Radha's uncle after he prevents him from molesting Gauri. Radha's husband dies suddenly and she returns home in disgrace to find her father is dangerously ill. However, the attraction between Radha and Gopi remains as strong as ever and ugly rumours start to circulate about the nature of their relationship - for which Gopi blames the jealous Gauri. Emotions come to the boil and tragedy results. Fortunately, for all concerned, another birth awaits them......",,Adurthi Subba Rao,Sunil Dutt+Nutan+Jamuna,Athreya Mullapudi+Virendra Sinha+Adurthi Subba Rao,PT2H50M,6.9,
Ram Aur Shyam,https://www.imdb.com/title/tt0062177/,Comedy+Drama+Family,1967-04-07,"After being abused by his oppressive brother-in-law, a man flees home and ends up in a small village where he is mistaken for another person. He must accept his new name or face an exorcism.",,Tapi Chanakya,Dilip Kumar+Waheeda Rehman+Mumtaz Askari,Kaushal Bharati+Narasa Raju D.V.,PT2H51M,7.2,
Jewel Thief,https://www.imdb.com/title/tt0061842/,Crime+Drama+Mystery,1967-10-27,A Police Commissioner's son comes under suspicion for being a jewel thief.,1.75,Vijay Anand,Ashok Kumar+Dev Anand+Vyjayanthimala,K.A. Narayan+Vijay Anand,PT3H6M,7.9,82.65645161290323
Neel Kamal,https://www.imdb.com/title/tt0148523/,Drama+Fantasy+Musical,1968-09-02,"Sleepwalker Sita Raichand (Waheeda Rehman) is rescued by Ram (Manoj Kumar) while walking on a railway track. Shortly thereafter Guruji (David) and Mr. Raichand (Balraj Sahni), approach Ram's mom (Lalita Pawar) with a marriage proposal. Finding the proposal suitable both Ram and his mom agree, and as a result Ram and Sita are married. After the marriage, Sita displays very strange behaviour, like walking away during the night for long durations. This increases the suspicions of everyone in Ram's household. Ram subsequently finds out that there is a lot more to Sita's disappearance than sleepwalking, as Sita seems attracted to someone else from a previous birth.",,Ram Maheshwari,Waheeda Rehman+Raaj Kumar+Manoj Kumar,Binoy Chatterjee+Gulshan Nanda,PT2H40M,6.8,
Padosan,https://www.imdb.com/title/tt0063404/,Comedy+Musical+Romance,1968-11-29,A simple man from a village falls in love with his new neighbor. He enlists the help of his musical-theater friends to woo the lovely girl-next-door away from her music teacher.,,Jyoti Swaroop,Sunil Dutt+Saira Banu+Mehmood,Rajendra Krishan,PT2H37M,8.1,
Khamoshi,https://www.imdb.com/title/tt0142431/,Drama+Romance,1969-04-25,Tale of a female nurse trying to maintain a balance between her professional life and her emotions who falls victim to the natural feeling of love and compassion when a person takes care of another person.,,Asit Sen,Waheeda Rehman+Rajesh Khanna+Nasir Hussain,Gulzar+Ashutosh Mukherjee,PT2H7M,7.7,
Ek Phool Do Mali,https://www.imdb.com/title/tt0214665/,Drama+Family,1969-05-07,"Widowed teacher Kailash marries unwed Somna, pregnant by presumed-dead Amar. Six years later, Amar returns, complicating Somna's life.",2.5,Devendra Goel,Sanjay Khan+Balraj Sahni+Sadhana Shivdasani,Mushtaq Jalili,PT2H30M,6.9,107.66176470588235
Sajan,https://www.imdb.com/title/tt0320394/,Comedy+Mystery+Romance,1969-07-07,"Ashok comes from a business family and lives a very wealthy lifestyle. One day while perusing newspapers he comes across an article which claims that he is to marry a dancer named Rajni. Angered at this insinuation, he goes to confront Rajni, all ready to threaten with a lawsuit, but is instead bewitched by her beauty and innocence and ends up falling in love with her. Initially he does not reveal his real identity, but does inform her eventually, and both are ready to take the next step. Before that could happen both get embroiled in a murder - a murder that ends up having three different killers - all confessing to the same crime. The song ""Sajjan sajjan pukaru galiyon main, kabhi phoolon me dhundu, kabhi kaaliyon main..."" continues to be popular even today.",,Mohan Segal,Asha Parekh+Manoj Kumar+Om Prakash,Vrajendra Gaur,PT2H27M,7.3,
Aradhana,https://www.imdb.com/title/tt0065416/,Drama+Musical+Romance,1969-09-27,"Vandana loses her husband in a plane crash before their marriage is recognized. She gives up her child for adoption, then becomes the child's nanny to stay close.",3.5,Shakti Samanta,Rajesh Khanna+Sharmila Tagore+Sujit Kumar,Sachin Bhowmick+Ramesh Pant,PT2H49M,7.6,150.7264705882353
Ittefaq,https://www.imdb.com/title/tt0064506/,Crime+Mystery+Thriller,1969-10-04,"Taking place almost entirely over the course of one stormy night, a woman is terrified when an accused murderer escapes from a mental hospital and seeks refuge in her home.",1.92,Yash Chopra,Rajesh Khanna+Nanda Karnataki+Sujit Kumar,,PT1H44M,7.4,82.68423529411764
Do Raaste,https://www.imdb.com/title/tt0064241/,Drama+Romance,1969-12-05,"Navendu toils hard to support his joint family and keep it together. However, their familial bond gets threatened when his younger brother marries a woman who insists on living separately.",3.25,Raj Khosla,Rajesh Khanna+Mumtaz Askari+Balraj Sahni,Chandrakant Kakodkar+G.R. Kamath+Akhtar Romani,PT2H30M,7.1,139.96029411764704
Khilona,https://www.imdb.com/title/tt0148375/,Drama+Musical+Romance,1970-04-08,"At the request of a wealthy man, a courtesan agrees to help heal his mentally disturbed son by pretending to be his wife. Her efforts only earn her abuse and wrath at the hands of most family members.",,Chander Vohra,Sanjeev Kumar+Mumtaz Askari+Durga Khote,Agha Jani Kashmiri+Gulshan Nanda,PT2H40M,7.1,
Johny Mera Naam,https://www.imdb.com/title/tt0154685/,Action+Drama+Romance,1970-11-11,"Orphaned brothers Mohan and Sohan diverge; one seeks vengeance, while the other, posing as ""Johny"", uncovers secrets that alter his life.",4.0,Vijay Anand,Dev Anand+Hema Malini+Pran Sikand,Vijay Anand+K.A. Narayan,PT2H39M,7.4,164.51685393258427
Mera Naam Joker,https://www.imdb.com/title/tt0066070/,Comedy+Drama,1970-12-18,"Raju is a joker, a clown. It is what he is and what he always shall be. As his life story unfolds in three chapters, from his school days to the circus to the streets, he must always make people laugh and be happy, no matter how unhappy he is within. Along the way, Raju loves and loses, but must always keep a smile on his face because, in the words of his circus manager, ""The show must go on."" Over six years in the making, ""Mera Naam Joker"" is Raj Kapoor's semi-autobiographical story of the life, love, and philosophy of an entertainer.",,Raj Kapoor,Raj Kapoor+Manoj Kumar+Simi Garewal,Khwaja Ahmad Abbas+Manoj Kumar,PT3H44M,7.9,
Guddi,https://www.imdb.com/title/tt0067164/,Drama+Comedy+Family,1971-01-01,"A teenage girl will not accept her family's attempt to arrange a marriage for her, as her heart is currently too full of love for the movies and heartthrob actor ""Dharmendra.""",0.78,Hrishikesh Mukherjee,Dharmendra+Jaya Bachchan+Sumita Sanyal,Gulzar+Hrishikesh Mukherjee+D.N. Mukherjee,PT2H1M,7.2,30.700967741935486
Purab Aur Pachhim,https://www.imdb.com/title/tt0234542/,Action+Drama,1971-02-19,"Circa British rule in India, Harnam betrays a freedom fighter, and as a result is rewarded, but the freedom fighter is killed, leaving his wife, and family devastated and destitute. Years later, the freedom fighter's son, Bharat, has grown up and goes to Britain to study. On his arrival in Britain, he is quite shocked to find that the Indian population settled there, shun India and Indians. He takes it upon himself to try and change their way of thinking, meets with Prithi, a Blondie of Indian origin, and both fall in love. Prithi accompanies him to India, and is appalled at the conditions that Bharat and his family in. Will this shock end their relationship?",,Manoj Kumar,Ashok Kumar+Saira Banu+Manoj Kumar,Shashi Goswami+Manoj Kumar,PT2H22M,7.4,
Anand,https://www.imdb.com/title/tt0066763/,Drama+Musical,1971-03-12,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",0.98,Hrishikesh Mukherjee,Rajesh Khanna+Amitabh Bachchan+Sumita Sanyal,Hrishikesh Mukherjee+Gulzar+D.N. Mukherjee,PT2H2M,8.1,38.57301075268817
Haathi Mere Saathi,https://www.imdb.com/title/tt0272118/,Drama+Family+Musical,1971-05-01,"Raju becomes very attached to his four elephants after they save his life. His wife, however, fears for her child and tells him that he must choose between the animals and his family.",3.5,M.A. Thirumugham,Rajesh Khanna+Tanuja Samarth+David Abraham,Javed Akhtar+Inder Raj Anand+Sandow M.M.A. Chinnappa Devar,PT2H50M,6.9,137.76075268817203
Parwana,https://www.imdb.com/title/tt0067555/,Romance+Thriller,1971-07-09,"Kumar Sen is an artist of eminence, a talented painter, and a renowned sculptor; and like the majority of his clan, he has a sensitive introvert. But no artist can achieve any degree of brilliance in his work. Miss Asha Varma is the only niece of a retired, jovial old pensioner, Ashok Varma, and she is truly the light of Kumar's life. One stormy night, Kumar tries to hold Ashok Varma to his unsaid promise of giving him asha's hand in marriage. But the interview ends in unpleasantness for both of them, as angrily the old man ordered Kumar never to darken his doorstep again. Soon after Ashok Varma is strangled to death. Asha's beau Rajesh is arrested for Ashok's murder. The whole drama unfolds in court and truth prevails, who really murdered Ashok Varma and whether Rajesh is innocent or guilty.",,Jyoti Swaroop,Amitabh Bachchan+Navin Nischol+Yogeeta Bali,Agha Jani Kashmiri+Madhusudan,PT1H33M,6.8,
Reshma Aur Shera,https://www.imdb.com/title/tt0067668/,Drama+Musical+Romance,1971-07-23,"Reshma and Shera belong to rival families.They fall in love even after knowing rivalry among their families.Sagat Singh ,Shera's father doesn't accept this and forces his younger son Chotu a sharp shooter to kill Reshma's father and newly married brother Gopal.By holding a gun on his neck.Shera cant bear to see a newly weeded Gopal's wife as widow and kills his father.Also swears to kill Chotu.",,Sunil Dutt,Waheeda Rehman+Sunil Dutt+Rakhee Gulzar,S. Ali Raza,PT2H38M,6.5,
Mere Apne,https://www.imdb.com/title/tt0067421/,Drama,1971-09-10,"Anandi Devi is an old widow living in her village she is bought to the city by her distant relative Arun. Anandi Devi realizes that Arun and his wife wanted to keep her as a maid following which she leaves the house and befriends a child beggar and start living in a dilapidated house. Due to her kind and good nature she is then called as Naani Maa by youth groups which are led by Shyam and Chhenu. Shyam and Chhenu are rivals of each other and can't see eye to eye, Anandi Devi tries to be peacemaker between them.",0.85,Gulzar,Meena Kumari+Vinod Khanna+Shatrughan Sinha,Gulzar+Indra Mitra,PT2H44M,7.6,33.45618279569892
Haré Rama Haré Krishna,https://www.imdb.com/title/tt0067183/,Drama+Musical,1971-12-09,"In the background of the rise of the International Hare Krishna movement in the 1970s, is a Montreal-based family of the Jaiswals, consisting of mom, dad, son, Prashant, and daughter, Jasbir. Due to irreconciable differences between Mr and Mrs Jaiswal, they separate, leaving Jasbir with dad, and Prashant with his mom. Eventually Prashant and his mom travel to India, leaving father and daughter behind in Montreal. Mr. Jaiswal re-marries, and brings his new wife to live in his home. Years later, Prashant has grown up to be a pilot. He has received a letter from his dad that Jasbir, who had rebelled and left home, is now located in Kathmandu, Nepal, with a group of hippies. Prashant undertakes to find his sister and hopefully get her back to the family. When Prashant lands in Kathmandu he does not find Jasbir, but instead finds Janice, who is indeed his sister with a new name. Janice has no recollection of her childhood, and is always in the company of fellow-hippies. Prashant now needs to bring Jasbir back, but for that he will have to travel deep into the drug induced dark world of Janice.",,Dev Anand,Zeenat Aman+Dev Anand+Mumtaz Askari,Dev Anand,PT2H29M,7.1,
Lal Patthar,https://www.imdb.com/title/tt0237395/,Drama,1971-12-31,"A vain, self-righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman.",,Sushil Majumdar,Raaj Kumar+Hema Malini+Rakhee Gulzar,Prasanta Chowdhary+Vrajendra Gaur+Nabendu Ghosh,PT2H28M,6.1,
Amar Prem,https://www.imdb.com/title/tt0066758/,Drama+Musical+Romance,1972-01-28,A village woman abandoned by her husband is forced into prostitution in Kolkata and forms nameless yet strong relations with a wealthy patron as well as an abused boy in the neighbourhood.,,Shakti Samanta,Rajesh Khanna+Sharmila Tagore+Sujit Kumar,,PT2H23M,8.1,
Bombay to Goa,https://www.imdb.com/title/tt0068305/,Action+Adventure+Comedy,1972-03-03,College student Mala has dreams of becoming a Bollywood movie actress; her dreams began materializing into reality when she is approached by Mr. Sharma and his assistant Mr. Verma who promises to take her to the way of stardom. Unfortunately when her parents learn about this they oppose to this and decide to arrange her marriage so that she will be restricted to go above her limits forcing her to approach Sharma for advice who asks her to run-away with huge sums of cash. Greed over comes the duo resulting in Sharma killing Verma; Mala who witness this is on the run for her life; she then board a bus that run between Bombay to Goa without realizing where this journey will end. But her life remains threaten as Sharma has not given up his searches for her.,,Mehmood,Mehmood+Aruna Irani+Amitabh Bachchan,Rajendra Krishan+Usilai Somanathan,PT2H12M,6.7,
Bawarchi,https://www.imdb.com/title/tt0068257/,Comedy+Musical+Drama,1972-07-07,A dysfunctional middle-class family is transformed due to the influence of their new multi-talented household servant - but he might be too good to be true.,,Hrishikesh Mukherjee,Rajesh Khanna+Jaya Bachchan+Usha Kiran,Tapan Sinha+Hrishikesh Mukherjee+Gulzar,PT2H10M,8.1,
Parichay,https://www.imdb.com/title/tt0216067/,Drama+Family+Musical,1972-10-18,"In desperate need of a job, unemployed Ravi (Jeetendra) goes to his maternal uncle (A.K. Hangal) and aunt (Leela Mishra) in their village for a few days. His uncle decides that he can be a suitable teacher for five obstinate and spoiled grand-children of the wealthy Rai Saheb (Pran). Ravi accepts this offer, and goes to work as a tutor with them. He soon realizes that it is not upto him to keep his employment there, but rather to the children themselves, who have never tolerated any tutor beyond a few days.",,Gulzar,Jeetendra+Jaya Bachchan+Pran Sikand,R.K. Mitra+Gulzar+D.N. Mukherjee,PT2H25M,7.6,
Koshish,https://www.imdb.com/title/tt0215911/,Drama,1972-11-27,A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.,,Gulzar,Sanjeev Kumar+Jaya Bachchan+Govardhan Asrani,Mohini N. Sippy,PT2H5M,8.4,
Samadhi,https://www.imdb.com/title/tt0284456/,Action+Drama+Romance,1972-12-22,"Lakhan Singh gives his life of a Dacoit and lives a happy life with his wife Champa when his son Jaswant becomes three years old, Champa becomes ill with cancer and circumstances force him to be again a Dacoit.",0.75,Prakash Mehra,Asha Parekh+Dharmendra+Jaya Bachchan,,PT2H19M,7.1,28.59765625
Jangal Mein Mangal,https://www.imdb.com/title/tt0435079/,Adventure+Romance,1972-12-27,"Biology Professor Laxmi, in the company of nine of her students, and a convent nun, Sophia, go on a field trip in Kerala, Southern India. Upon arrival, they decide to stay there at a Public Rooming House, which also happens to house another group of students, this time all male, headed by Retired Colonel M.K. Das. After several misunderstandings both the groups compromise and decide to pass the rest of their temporary stay in peace. But fate has other plans for them, for Sophia is killed, apparently murdered by a zombie-like creature, dressed in black, who lives in a nearby grave-yard. Before the police and the others could react, a male student is killed. Three male students do encounter this creature, but it manages to over-power all three, and no amount of force or bullets can stop it. It's main motive seems to kill anyone who stands in it's way, including the police!",,Rajendra Bhatia,Kiran Kumar+Reena Roy+Sonia Sahni,Vrajendra Gaur+S. Khalil+Mohan Kotia,PT2H20M,6.8,
Loafer,https://www.imdb.com/title/tt0156745/,Romance+Thriller,1973-03-12,"Guilt ridden Ranjit, a skilled high profile thief, even at the cost of being arrested, must make grand arrangements for the wedding of the daughter of an destituted old man whose teenage son was killed by Ranjeet in their childhood.",2.25,A. Bhimsingh,Dharmendra+Mumtaz Askari+Roopesh Kumar,Nabendu Ghosh+Jagdish Kanwal+Vijay,PT2H18M,6.6,79.57608695652173
