Title,URL,Genre,Release Date,Plot,Box Office (Cr.),director,actors,writers,duration,rating,Box_office_adjusted
Hum Saath-Saath Hain,https://www.imdb.com/title/tt0216817/,Drama+Musical,1999-11-05,"Ramkishen and Mamta have three sons Vivek , Prem and Vinod and a daughter Sangeeta. This family is part of a joint family whose close knit bond is challenged by a misunderstanding.",39.18,Sooraj R. Barjatya,Mohnish Behl+Salman Khan+Saif Ali Khan,Sooraj R. Barjatya,PT2H57M,6.3,153.63512587038028
Dillagi,https://www.imdb.com/title/tt0225515/,Drama+Musical+Romance,1999-11-19,"When Ranvir, the responsible elder brother of a middle-class Indian family, realises that his reckless younger brother Rajvir is in love, he arranges for Rajvir's marriage, not realising that the girl is the same person he is in love with.",,Sunny Deol,Sunny Deol+Bobby Deol+Urmila Matondkar,Anirudh Chawla+Sutanu Gupta+Sanjay Masoomm,PT3H8M,5.3,
Khoobsurat,https://www.imdb.com/title/tt0220597/,Action+Comedy+Romance,1999-11-26,"Con-man and thief Sanju donates his loot and money to orphanages; his life changes when he crosses path with a notorious gangster, Jogia Seth who ended up owing him huge amount of money. In order to acquire the money to repay him Sanju decides to pose as a member in the Shastri's family only to actually win the love of this family with he himself trap in emotions for the family members.",8.56,Sanjay Chhel,Sanjay Dutt+Urmila Matondkar+Om Puri,,PT2H29M,5.3,33.56602035350831
Mere Aagosh Mein,https://www.imdb.com/title/tt2663796/,Thriller,2000-01-01,"A woman who dumps her boyfriend for a rich, older man regrets that choice when her ex takes up with her new stepdaughter.",,B. Prasad,Rana Jung Bahadur+Kanchan+Kirti Shetty,,PT2H22M,6.7,
Bulandi,https://www.imdb.com/title/tt0230055/,Action+Drama,2000-01-07,A noble family presides over a small town in India.,4.4,Rama Rao Tatineni,Anil Kapoor+Rekha+Raveena Tandon,Aadesh K. Arjun+Erode Sounder,PT2H55M,5.2,16.69036269430052
Kaho Naa... Pyaar Hai,https://www.imdb.com/title/tt0234000/,Action+Musical+Romance,2000-01-14,A young girl meets the doppelganger of her deceased boyfriend and now has a chance to find the people who have murdered him.,44.28,Rakesh Roshan,Hrithik Roshan+Ameesha Patel+Anupam Kher,Rakesh Roshan+Sagar Sarhadi+Honey Irani,PT2H52M,6.9,167.9657409326425
Dulhan Hum Le Jayenge,https://www.imdb.com/title/tt0247992/,Comedy+Drama+Romance,2000-01-15,"Sapna has lost her parents at an early age and lives with her three quirky uncles - Bhola Nath is a fitness freak, Prabhu Nath is a deeply religious fellow and Vicky Nath is a disco-savvy dude. Sapna is fed up of their quirks and runs away to Europe where she meets Raja. Her purse is stolen and hence she has to depend financially on Raja. During the course of the tour they fall in love after much bickering. When Raja comes to know that to marry Sapna he has to convince her three uncles for their support, he sets off on his mission.",18.85,David Dhawan,Salman Khan+Karisma Kapoor+Om Puri,Rumi Jaffery,PT2H38M,5.1,71.5030310880829
Phir Bhi Dil Hai Hindustani,https://www.imdb.com/title/tt0222270/,Comedy+Drama+Musical,2000-01-21,"In order to seek justice for a man who exacts vengeance on a politician, who was responsible for his daughter's death, two rival reporters teams up to help him to prove his innocence.",10.75,Aziz Mirza,Shah Rukh Khan+Juhi Chawla+Johny Lever,Sanjay Chhel+Raaj Kumar Dahima+Manoj Lalwani,PT2H40M,6.2,40.77759067357513
Pukar,https://www.imdb.com/title/tt0218533/,Action+Drama+Romance,2000-02-04,A notorious terrorist manipulates an Indian army major's jilted lover into helping him obtain a classified military code.,,Rajkumar Santoshi,Anil Kapoor+Madhuri Dixit+Namrata Shirodkar,Vijay Deveshwar+K.K. Raina+Anjum Rajabali,PT2H56M,6.7,
Badal,https://www.imdb.com/title/tt0247944/,Action+Crime+Drama,2000-02-11,"Having witnessed his family being massacred during a riot in his village, Badal is raised by a terrorist and sets out to exact revenge on the police officer responsible for his family's murder.",,Raj Kanwar,Bobby Deol+Rani Mukerji+Mayuri Kango,Raj Kanwar+Robin Bhatt+Sutanu Gupta,PT2H46M,5.0,
Daku Ramkali,https://www.imdb.com/title/tt1027807/,Adventure+Drama+Musical,2000-02-18,A tale of twin brothers divided by fate - one joins law enforcement while the other turns to crime. Their daughters' lives intertwine through love and vengeance.,0.99,Kanti Shah,Sapna Sappu+Jay Thakur+Rajesh Vivek,Bashir Babar+Dev Kohli+Zail Singh,PT2H14M,6.9,3.7553316062176165
Krodh,https://www.imdb.com/title/tt0311413/,Action+Comedy+Drama,2000-03-10,"An overprotective brother, who wants to keep his five sisters safe from the cruel world, faces antagonism from them after they turn against him.",,Ashok Honda,Suniel Shetty+Rambha+Apurva Agnihotri,Naeem-Ejaz+Santosh Saroj,PT2H21M,4.6,
Hera Pheri,https://www.imdb.com/title/tt0242519/,Action+Comedy+Crime,2000-03-31,"Two tenants and a landlord look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",12.36,Priyadarshan,Akshay Kumar+Suniel Shetty+Paresh Rawal,Siddique+Lal+Neeraj Vora,PT2H36M,8.2,46.884746113989635
Hadh Kar Di Aapne,https://www.imdb.com/title/tt0244528/,Comedy+Romance,2000-04-14,"Raj, a detective, goes on a Europe trip for his friend's case. During the trip, he falls in love with Anjali, who is impersonating her best friend. Their journey together ensues romance and comic confusion.",11.31,Manoj Agrawal,Govinda+Rani Mukerji+Johny Lever,Satish Jain+Rajeev Kaul+Anwar Khan,PT2H14M,5.3,42.90181865284974
Chal Mere Bhai,https://www.imdb.com/title/tt0245825/,Comedy+Romance,2000-05-05,"Vicky, a businessman, loves his younger brother Prem, who spends his time chasing women. The family feels that secretary Sapna will make a good wife for Vicky, but she is already in love with Prem.",11.65,David Dhawan,Sanjay Dutt+Salman Khan+Karisma Kapoor,,PT2H16M,4.7,44.19152849740933
Jung,https://www.imdb.com/title/tt0289725/,Action+Crime+Drama,2000-05-12,A police officer is in a frantic search for a compatible bone-marrow donor for his gravely-ill son. The only match is a convicted vicious killer who is now on the run. All he has to do is catch him.,6.03,Sanjay Gupta,Sanjay Dutt+Jackie Shroff+Aditya Pancholi,Anurag Kashyap+Abhinav Kashyap+Anand S. Vardhan,PT2H27M,4.3,22.87338341968912
Kya Kehna,https://www.imdb.com/title/tt0250483/,Drama+Romance,2000-05-19,A young college girl faces hardships and challenges after she becomes a mother without marriage,12.17,Kundan Shah,Preity G Zinta+Saif Ali Khan+Chandrachur Singh,Honey Irani,PT2H35M,5.8,46.16402590673575
Josh,https://www.imdb.com/title/tt0151150/,Action+Drama+Musical,2000-06-09,"Max, who lives with his twin sister Shirley in Goa, is enraged when he finds out that she has fallen in love with Rahul, his bitter rival Prakash's younger brother.",17.83,Mansoor Khan,Shah Rukh Khan+Aishwarya Rai Bachchan+Chandrachur Singh,,PT2H42M,6.1,67.63390155440413
Bichhoo,https://www.imdb.com/title/tt0252277/,Action+Crime+Drama,2000-07-07,A contract killer with a tragic past trains a teenage girl to avenge the murder of her family and falls for her in the process.,10.69,Guddu Dhanoa,Bobby Deol+Rani Mukerji+Ashish Vidyarthi,,PT2H40M,5.0,40.54999481865285
Har Dil Jo Pyar Karega...,https://www.imdb.com/title/tt0250415/,Comedy+Drama+Musical,2000-08-04,"Raj is a struggling singer with big dreams who is still waiting for his big break. One night he witnesses an accident where a car spins out of control and lands on the tracks of an on-coming train. Raj runs over to the wreckage and rescues the occupant just in time. He takes her to the hospital and the girl's family are informed. The girl, Pooja Oberoi, survives but is in a vigil coma, a condition whereby she can hear and see everything but cannot speak nor move any part of her body. The Oberoi family is grateful to Raj and are led to believe that he is Pooja's groom, Romi. Raj is reluctant to accept this but then he changes his mind and accepts being the groom, as he has an agenda of his own and takes advantage of this accident to further his goals. But then he meets Pooja's best friend Jahnvi and falls in love with her. The situation is complicated even more when Pooja wakes up from the coma and begins to show feelings for Raj.",,Raj Kanwar,Salman Khan+Preity G Zinta+Rani Mukerji,Rumi Jaffery,PT2H53M,5.1,
Dhadkan,https://www.imdb.com/title/tt0255111/,Drama+Romance,2000-08-11,"Anjali and Dev are in love and plan to marry, but her family gets her married to Ram. Years later, Dev shows up to reunite with Anjali, who has managed to fall in love with her husband.",,Dharmesh Darshan,Akshay Kumar+Shilpa Shetty Kundra+Suniel Shetty,,PT2H41M,6.5,
Hamara Dil Aapke Paas Hai,https://www.imdb.com/title/tt0255212/,Action+Drama+Romance,2000-08-25,"Inspired by the Telugu film, ""Pelli Chuskundam,"" the plot follows the life of a rape victim (Aishwarya Rai). Now, a disgrace to her family, she is turned away from her house after the sexual assault. But she finds shelter in the character played by Anil Kapoor.",14.79,Satish Kaushik,Anil Kapoor+Aishwarya Rai Bachchan+Sonali Bendre,Jainendra Jain+Bhupati Raja,PT2H45M,5.5,56.10237823834197
Fiza,https://www.imdb.com/title/tt0248012/,Crime+Drama+Romance,2000-09-08,In 1993 Fiza's brother Aman disappears during the riots in Mumbai. In 1999 Fiza is tired of waiting and goes looking for him.,14.67,Khalid Mohamed,Karisma Kapoor+Hrithik Roshan+Jaya Bachchan,,PT2H50M,6.0,55.64718652849741
Karobaar: The Business of Love,https://www.imdb.com/title/tt0116748/,Drama+Romance,2000-09-15,"Wealthy Rajiv Sinha and middle-classed Amar Saxena are two childhood friends, with similar likes, and tastes. Their similar habits lead them to being in love with the same woman - Seema, who loves Amar, and is willing to marry him no matter what. Rajiv attempts to offer money to Sapna's guardian so that he can marry her, in vain though. When Rajiv attempts to convince Amar that Sapna is being brought up by a prostitute by the name of Ratnabai, Amar is adamant, and marries Sapna, and takes her home to his brother and his family, where they are not welcomed, and asked to leave. Rajiv and Amar stop seeing each other, and regard each other as bitter enemies. Amar and Seema manage to exist, with Amar going on to become a successful prosecution attorney. Then they get the news that Rajiv has been charged with killing a young woman named Neelam Mehta. Amar is delighted for he will be given a chance to teach Rajiv a lesson, and possibly sentence him to death. During the trial, Rajiv's only defense is that he was with another woman when this murder was committed, but refuses to name this woman. While the judge is pronouncing the sentence, the court proceedings are interrupted when Rajiv's defense lawyer produces the woman who was with Rajiv that entire night - Mrs. Seema Saxena.",,Rakesh Roshan,Juhi Chawla+Anil Kapoor+Rishi Kapoor,Sachin Bhowmick+Ravi Kapoor+Sagar Sarhadi,PT3H,3.8,
Jis Desh Mein Ganga Rehta Hain,https://www.imdb.com/title/tt0263491/,Comedy+Crime+Drama,2000-10-13,"Gangaram alias Ganga has been raised by his foster parents who reside in the village thus he gets accustom to village life. 24 years later his birth parents multi-millionaire Avinash and his wife Radha comes to ask him to move into their bungalow located in the city to which Ganga agrees and goes to bid farewell to his friends and girlfriend Saawni. While in the city Ganga is introduced to his elder brother, Milind, his wife, Supriya, and his younger brother; Ganga finds it very hard to adjust to the city life and is often scuffed at. Avinash arranges his marriage with equally wealthy Tina to which he agrees although he is not comfortable with this marriage as he is still in love with Saawni; meanwhile Ganga's honest policy gets him and his new found family into further problems.",,Mahesh Manjrekar,Govinda+Sonali Bendre+Rinke Khanna,Mahesh Manjrekar,PT2H21M,4.9,
